Country/Region/Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Lebanon Palestinian rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,,,1,,0,10,,,8,,4,,,,,,,5,,,6,,,1,,1,,,,,,,,,,,1,1,1,,48
LF (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,12,52,20,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
Liberia,,,,,,,,,,1,,,,,2,,,18,,,,0,1,,,,2,,1,,,,,,,,5,7,,12,3,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,0,61
Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,155,371,533,534,733,1767,1637,1875,3056,4214,3166,2941,3156,2746,1394,730,750,401,184,9,218,10,,,,,,,,,9,,,,,,1,16,16,16,22,37,8,73,116,,,,,,,,31048
Libya GNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,0,21
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,37,13,6,11,26,,109
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,,4,15,,15,5,6,16,13,1,47,9,52,4,27,27,8,1,1,73,2,13,28,7,8,50,103,616
LRA (Uganda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
LTTE (Sri Lanka)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,1,,1,,,0,,,,,,,,,,,,,,,,3
Luxembourg,,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,7,7,,1,,,,0,0,,3,88,114
Madagascar,,,,,,,,,,,,3,,1,0,7,,12,1,1,,0,0,,18,6,,,,64,43,0,,8,,6,,,,,,,,,,,21,,,,,,,,,,,,,0,,,,0,,,,,1,4,1,198
Malawi,,,,,,,,,,,,,,,5,,,,,,,,0,,,,2,6,7,8,14,14,,,1,6,10,1,2,3,10,,,,2,,,,,,,,,,,,,,3,,,,1,2,2,2,0,,,,,101
Malaysia,,,,,,,,,13,18,5,2,31,75,97,10,58,128,91,79,25,195,112,205,50,85,394,146,72,310,127,56,26,271,546,410,146,5,14,38,,34,13,13,308,848,33,563,39,730,25,28,152,147,63,59,408,519,500,1514,437,5,17,77,73,118,283,193,90,67,58,11250
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,8,,,,,,,,15,,,,5,,,5,,,,,,,3,37
Mali,,,,,,,,,,,,3,10,4,,,1,10,,2,,15,,,,9,89,,,,,91,4,15,13,0,,,1,,1,,,,0,,,9,4,,7,,1,4,,13,,8,3,10,,0,9,6,1,,21,31,25,17,44,481
Malta,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,8,,1,,,,,,,,,,,,13,,,0,1,6,0,,0,0,,,,18,,,,,,8,8,,12,10,6,8,,,,98
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Mauritania,,,,,,,,,,,2,1,1,6,1,1,,,,,11,13,,1,5,5,10,24,17,24,,19,16,,0,3,,,,8,16,18,,,16,2,2,8,4,,31,,27,7,,,,,,,9,5,11,,8,1,35,,1,34,,400
Mauritius,,,,,,,,,,,,,,,,,,,0,,,0,,,2,,,,,3,,,,,,1,,,,,7,,,8,,,29,1,,,,,,,7,,,,,,,,,,28,,26,19,,,,130
Mexico,,7,,6,,,,,16,2,21,30,109,60,38,11,21,14,,,82,48,15,158,61,104,69,39,68,62,78,118,345,117,,8,144,155,98,64,35,45,19,160,133,50,87,485,23,141,227,152,96,31,320,33,75,,25,59,109,228,257,51,85,319,320,212,16,,257,6219
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,23
MNLF (Philippines)*,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,19
Mongolia,,5,28,5,3,10,9,12,12,,10,66,90,86,120,137,116,63,15,14,15,13,8,58,76,190,26,24,42,29,60,72,152,114,110,98,27,36,27,,,,,,,,,,,,,,,,,,,,14,,27,3,79,,,74,,,,17,,2188
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,15,,4,20
Morocco,,,,,,,28,12,10,13,22,37,93,14,16,82,153,141,81,41,80,1,,21,198,206,216,408,419,723,453,780,517,386,59,38,31,32,111,126,137,62,17,98,117,28,89,220,,60,125,11,155,12,14,101,47,27,46,39,309,1409,895,62,572,47,287,605,462,48,12,11657
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,28,33,150,492,111,52,60,64,59,94,73,6,,,,,,,,,,,,,2,,,,1,,,,,,,,0,0,9,15,0,2,,,22,1,1274
MPLA (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MTA (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,7,29,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
Myanmar,4,0,0,16,39,47,30,53,61,29,6,17,14,27,18,19,3,13,6,22,4,23,4,,,53,10,9,25,21,41,,38,,,,9,,,34,266,232,29,323,97,223,118,231,156,141,16,154,157,99,194,160,175,153,80,62,59,668,395,250,102,244,283,215,188,193,212,6571
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,4,5,,,21,11,,16,,72,,24,15,3,1,57,9,2,,3,35,,,,285
NATO**,,,,,,,,26,26,26,26,22,5,,,,,7,14,14,14,,,,,,,,,,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,21,70,399,5904
Nepal,,,,,,,,,,,,,,,,2,0,,,,8,8,3,1,2,15,6,,,,,1,,,3,3,,,,1,,,1,,,1,,,,,,11,9,9,34,6,,,1,,,3,,,5,14,8,1,7,36,,196
Netherlands,154,454,423,975,784,719,1171,703,467,146,294,309,370,711,910,745,182,741,266,555,699,698,662,21,40,96,266,579,699,775,621,757,1243,1356,1203,899,813,629,383,711,274,324,239,142,210,83,205,126,271,278,123,164,244,125,127,98,317,237,154,293,190,120,254,451,8,59,75,33,144,492,570,30654
New Zealand,41,72,148,13,,38,148,90,58,,119,111,8,5,,10,407,4,56,,168,133,20,19,7,48,7,34,,,,31,62,100,41,9,29,5,59,26,23,42,55,36,16,7,7,309,16,304,,45,17,108,49,10,6,81,3,56,58,28,30,26,85,90,,,6,3,125,3764
Nicaragua,,,,3,15,27,1,4,6,,2,8,6,8,0,0,2,,,,,5,5,10,,,8,19,13,,,41,67,47,165,87,88,151,63,14,102,1,,,,,,,,,,,,,,,,14,,14,,,,,13,15,86,7,,13,,1128
Niger,,,,,,,,,,,1,1,,,1,1,,,,2,1,12,,,3,,,,2,57,7,,6,13,3,,3,,,,,7,,,,,,3,,,,,,5,,,,,8,1,0,0,,13,4,10,0,3,0,5,18,189
Nigeria,,,,,,,,,,5,,1,8,9,2,116,99,45,46,39,14,12,113,7,24,424,104,68,136,87,502,326,626,41,359,572,212,115,62,15,18,3,58,41,95,2,15,1,,,36,9,6,62,11,,15,59,33,65,189,63,28,30,220,187,50,41,49,18,108,5698
NLA (Macedonia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,207,,,,,,,,,,,,,,,,,,,,228
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
North Korea,861,372,211,674,263,404,479,428,827,579,405,69,181,197,168,117,855,854,1299,605,629,1572,568,640,933,636,502,312,369,238,416,263,549,511,283,1040,1097,849,854,595,295,198,137,93,35,143,78,9,9,179,18,28,9,8,8,5,5,5,5,4,1,,,,,,,,,,,23975
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,,,12,81,14,112,,,,,0,,,,,,,1,,,0,,,,,248
North Yemen,0,,4,,,1,,60,19,8,,23,,,,,0,,27,11,,,,,9,9,0,13,14,740,700,149,45,9,98,101,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121
Norway,113,127,426,421,19,168,282,142,144,110,145,93,60,227,260,371,773,696,289,524,145,86,68,63,55,49,35,27,24,44,251,435,457,441,337,122,141,198,308,667,369,322,254,181,94,79,152,159,152,155,229,99,90,9,6,14,557,596,615,583,159,606,143,51,16,143,142,352,527,401,427,17021
NTC (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
Oman,,,,,,,,,,1,1,,,1,1,1,2,7,5,36,26,60,11,71,67,181,150,250,81,43,12,72,182,356,120,86,49,40,19,119,59,,,55,145,278,293,165,22,,120,33,40,36,41,170,296,12,72,94,31,21,120,487,714,127,423,777,277,86,85,7127
OSCE**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1
PAIGC (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pakistan,194,169,145,95,145,195,158,529,353,323,42,69,88,181,85,214,594,153,418,559,447,553,664,162,230,241,279,264,649,710,854,485,537,777,856,747,280,616,411,962,623,498,352,972,863,366,500,691,699,874,182,419,565,652,477,443,356,694,1071,1192,2215,1130,1009,1090,829,780,839,877,879,669,760,38995
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,7,15
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,9,,,,,,,,,,,2,,14,6,,,,,,,,,2,,37
Panama,,,,,,,,,,,,,,,0,,,,0,3,15,18,2,16,,27,6,4,5,,3,4,13,8,0,7,,,23,2,,,2,,,,0,12,,,,,1,,,,,,,7,,,15,30,,,3,15,11,,,249
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,2,5,,3,,8,12,6,6,4,10,10,,1,,0,7,,,,,,,,,,,,,,,,,3,,,0,10,,,123
Paraguay,5,,1,1,,0,,,,,9,,11,0,8,1,1,5,9,,0,1,12,0,1,20,3,,9,1,18,5,3,1,3,34,4,,14,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0,,,,,,2,,225
Pathet Lao (Laos)*,,,,,,,,,,,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
Peru,2,24,85,17,111,35,175,117,30,175,191,96,14,24,18,52,65,26,188,89,35,157,184,459,562,555,374,934,770,639,706,865,278,324,356,257,250,616,240,10,97,108,124,42,175,46,122,369,51,96,24,10,16,22,47,368,193,172,,43,46,63,10,22,152,212,223,65,94,0,28,13140
Philippines,,2,1,32,22,37,39,42,29,64,51,45,11,4,2,102,86,43,16,26,9,90,52,117,53,133,256,198,143,92,75,39,17,117,39,23,,26,12,19,33,34,43,61,71,27,40,70,64,,,10,5,10,34,12,23,16,10,1,3,63,16,78,12,153,227,276,18,187,349,4106
PIJ (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
PKK (Turkey)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,1
PLO (Israel)*,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,4,12,14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Poland,190,575,794,1021,1999,1098,687,1080,1048,994,853,849,688,1001,1565,1155,981,746,861,933,933,925,851,1047,1067,966,788,928,1113,1128,1091,808,724,528,462,918,1380,1020,896,498,227,76,95,5,69,245,102,1,3,25,148,33,256,350,226,103,439,966,632,190,169,137,223,145,259,140,55,154,71,319,196,43246
Portugal,18,17,116,280,369,162,90,157,99,48,31,150,28,41,45,62,235,298,388,359,370,177,16,16,117,326,64,94,128,5,36,50,190,4,109,154,5,9,90,135,70,1013,19,361,453,20,8,0,16,3,2,19,,29,70,158,220,60,144,370,893,167,39,12,3,1,21,8,20,45,45,9379
PRC (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
Provisional IRA (UK)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,55,16,14,55,46,128,470,328,2,2,57,91,10,5,17,64,11,10,11,201,244,302,72,14,11,11,11,,,,27,,286,30,180,335,80,55,519,905,665,620,2199,943,9189
Regional Security System**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,14
Romania,4,76,407,809,605,454,448,186,106,97,113,27,181,227,418,518,401,442,591,399,561,474,501,539,683,646,295,349,298,645,528,478,448,285,241,331,456,215,193,276,606,63,184,14,29,2,39,61,170,142,21,24,21,17,285,437,61,98,76,56,107,80,21,20,0,22,177,88,37,13,187,18104
RPF (Rwanda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
RUF (Sierra Leone)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,4,90,,8,25,10,121,183,218,85,119,93,52,,,1047
Rwanda,,,,,,,,,,,,,5,,0,0,,,,,,0,0,2,1,3,,1,,,,,,4,6,3,2,,2,2,1,2,5,,,,1,2,9,20,14,,,,,,3,20,8,11,,,5,15,14,27,,8,3,1,,195
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Saint Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13
Saudi Arabia,0,,7,1,2,16,10,72,37,8,17,12,22,,5,48,227,221,456,383,54,10,104,185,378,479,612,951,1020,765,1090,1810,2214,1819,836,1328,2849,2003,776,1382,2043,1041,1125,2377,981,983,1733,2790,2895,1580,85,61,567,167,1170,166,205,230,391,824,1092,1222,1033,1614,2740,3377,2961,3929,3266,3485,2543,70884
Senegal,,,,,,,,,,,0,8,,0,4,0,1,,1,19,,12,,1,17,,14,41,20,29,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,15,9,12,6,4,4,16,,,7,15,40,47,13,40,23,504
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8,1,13,6,1,1,27,,,,,,,,,16,,0,,,,14,65,3,155,133,450
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19,6,1,2,15,,,10,,1,,0,,,,,,,,,,,,,,,15,,,,,,7,,8,16,,8,,8,,,114
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,2,,42,,,1,3,,,18,,,,,1,,6,14,,16,,12,,,,,,,9,,,,,2,0,1,,0,1,,,,,158
Singapore,,,,,,,6,,,,,,,,,1,8,,6,138,92,165,177,99,295,255,254,171,50,338,410,167,176,245,83,123,75,277,543,234,523,371,111,170,182,305,171,624,813,313,798,255,236,86,379,541,72,358,1114,1429,958,895,745,749,65,147,633,430,594,517,180,19151
SLA (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,10,17,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,44
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,0,,27,,1,4,,0,0,9,9,,2,5,,,,47,34,15,25,588
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,22,11,22,20,8,4,19,2,41,2,17,17,3,3,2,,10,40,28,,,1,,,,,,,284
SNA (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,19
Somalia,,,,,,,,,,,10,2,0,11,,30,52,72,4,1,,,21,165,283,128,180,44,57,48,120,97,61,23,12,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,,8,3,1516
South Africa,37,73,183,53,49,105,270,173,169,68,13,,215,476,266,348,471,260,183,176,475,274,227,311,193,226,415,508,391,130,200,121,49,225,127,28,212,21,7,13,13,28,363,244,241,42,42,11,,21,6,18,,,,267,741,910,493,134,180,212,132,2,50,2,,,,,,11890
Southern rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,80
South Korea,155,256,266,263,158,351,461,290,264,252,195,180,132,218,283,631,570,130,357,499,93,235,373,253,450,654,556,1192,381,1354,924,893,684,501,527,765,880,770,1220,1851,1213,926,792,1038,1037,1964,1985,1237,1435,1654,1401,777,533,757,1068,815,1659,1732,1690,798,1299,1570,1078,191,725,257,1058,1052,1100,1480,1292,56077
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,2,61,2,9,35,19,8,,,,,216
South Vietnam,,,,0,45,87,121,28,20,20,43,111,165,131,80,143,182,253,285,568,654,970,2538,629,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7424
South Yemen,,,,,,,,,,,,,,,,,,29,13,58,17,49,112,83,68,12,,8,55,1082,1221,499,41,99,71,52,74,89,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3787
Soviet Union,36,,,8,70,945,1538,1500,1500,975,692,175,174,237,463,485,583,576,543,578,523,525,795,583,957,771,800,876,803,842,767,804,671,725,914,1004,1379,1533,1611,1201,693,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29984
Spain,1,,,78,88,217,273,287,135,293,231,112,55,14,60,401,277,279,133,191,241,617,767,906,582,1186,832,325,447,659,692,630,508,605,84,331,1096,1102,1958,856,708,110,211,301,855,357,425,212,86,371,329,145,277,254,315,363,315,339,349,231,288,168,224,155,109,135,86,68,136,35,64,25568
SPLA (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Sri Lanka,0,,0,17,,8,1,2,20,31,4,,,,0,,,,,2,,33,47,,,1,0,17,7,,18,,,,48,42,27,110,19,5,19,166,22,35,74,64,207,48,83,62,293,158,42,33,46,56,95,90,79,21,4,21,,20,5,,,45,100,59,,2408
Sudan,,,,,,,,2,5,4,9,15,19,8,36,5,5,2,16,177,598,87,69,23,3,,,26,208,4,3,204,90,25,106,65,9,122,77,16,3,46,6,,,3,27,63,,36,,106,49,204,293,132,69,33,128,89,182,173,95,130,61,124,109,68,34,18,,4319
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,,,,0,2,,7,,5,2,,,,,,,,,,,,23,2,,,,,,,,,,,,0,7,,3,,,,,,67
Sweden,225,297,316,431,319,447,541,253,170,257,232,159,134,324,403,317,294,342,227,159,122,96,172,231,256,292,214,100,197,247,246,452,171,179,109,82,160,159,135,105,90,49,60,39,297,101,95,195,294,224,206,165,76,64,47,78,129,51,53,17,11,191,207,56,45,14,70,46,7,7,3,12554
Switzerland,154,151,321,169,142,230,313,223,232,289,219,37,4,52,263,228,373,177,199,166,141,149,187,116,64,138,143,5,218,228,274,290,177,443,404,341,108,151,179,319,440,476,388,104,119,93,187,379,436,507,23,68,63,117,203,168,83,108,17,39,48,32,10,6,5,12,73,34,10,13,10,12288
Syria,106,1,20,18,9,90,135,463,112,22,21,12,20,74,50,77,508,889,805,852,880,731,1497,3272,3420,1412,527,931,871,2045,1859,1338,1973,2233,1809,1575,1262,1409,1312,663,739,321,243,173,19,35,35,35,55,58,64,28,45,69,25,35,100,20,294,205,413,493,516,506,21,22,8,32,181,,84,40178
Syria rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,2,,1,,5
Taiwan,,98,304,383,320,622,256,436,739,921,472,108,146,320,347,478,326,477,299,583,585,351,245,329,372,344,484,802,792,552,525,795,811,735,440,654,967,598,658,364,478,663,479,1157,856,1318,1474,4808,3959,1725,570,332,291,117,319,695,503,12,11,60,95,197,422,548,1077,629,97,493,99,64,99,42682
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,13,7,,34,,,,3,,,8,19,3,4,,117
Tanzania,,,,,,,,,,,,,,,4,4,22,1,,,11,60,47,118,181,48,,44,63,260,53,121,9,,,,1,,,5,,,18,,4,,4,,,,2,,1,51,,10,12,1,,25,,78,115,118,14,20,20,2,16,,8,1569
Thailand,62,87,49,25,77,49,10,88,15,10,28,57,110,110,97,89,113,152,69,135,214,240,202,342,97,77,148,104,325,171,307,320,82,325,386,185,162,517,607,266,223,570,498,185,610,522,732,935,77,168,85,117,152,131,114,70,47,8,16,63,58,249,272,378,104,182,340,322,628,291,154,14810
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,,,,,,,,,,32
Togo,,,,,,,,,,,1,,,,0,0,,,1,1,2,1,,2,,14,50,1,9,9,28,19,4,2,,,16,0,0,,,9,8,,3,3,,9,,,,,,,,,,,,,1,,,,15,,,,,1,0,209
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,6,6,,,,,0,,,,,,,,,,,,,,,,,,,5,,,,7,7,38
Trinidad and Tobago,,,,,,,,,,,,,,,,11,0,,,,,,11,2,,,,,,,22,6,,,,,,0,,,,,,,,,,,,,11,0,2,,,,,6,,,24,12,12,,,46,30,,,,,194
Tunisia,,,,,,,,11,,13,44,6,,7,4,40,,5,17,23,44,0,4,26,14,15,10,73,14,122,103,56,59,103,116,321,,56,17,48,4,20,32,,35,56,68,39,18,11,,,44,1,,168,2,,3,,7,7,,38,45,8,35,90,181,15,15,2309
Turkey,117,136,337,171,172,445,300,608,602,916,593,312,266,582,835,412,335,593,426,644,396,941,1095,789,1279,639,365,298,989,919,488,732,483,478,560,690,484,1439,1638,1029,1251,1290,1890,2337,1901,1574,1494,1521,2636,1736,1181,509,900,330,257,1095,531,692,640,732,485,780,1503,793,1524,438,328,428,488,760,94,56649
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,36,27,235,109,71,72,172,431,97,,,,1295
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,7,,13
UAE,,,,,,,,,,,,,,,,,,,13,13,69,24,26,88,100,152,272,288,201,18,203,430,162,164,312,145,138,199,42,666,563,238,201,580,568,421,480,687,756,437,246,186,222,687,1221,2184,2038,933,758,602,644,1235,1154,2306,768,1224,956,853,1151,800,534,29354
Uganda,,,,,,,,,,,,,,,3,1,16,4,27,16,3,3,20,17,46,123,34,5,,,,,14,,,10,,31,1,20,,,,,,32,,,55,39,6,,33,,36,10,5,0,14,25,37,469,216,20,2,6,1,22,10,36,66,1531
UIC (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,5,4,70,23,18,143
Ukraine Rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,24
UNITA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
United Kingdom,105,246,532,1610,537,322,141,93,554,543,26,34,38,139,118,152,216,1422,2288,2570,60,171,217,234,319,337,251,256,179,219,544,800,757,286,633,355,273,207,278,205,117,936,1132,784,413,492,568,496,741,124,867,1273,720,775,218,32,328,796,496,375,492,366,583,505,211,397,259,1002,519,342,639,35262
United Nations**,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,14,55,11,,,1,7,31,,,,2,1,2,1,0,,,,,5,25,3,9,,,,,185
United States,352,695,875,1315,1896,1892,2071,1371,701,645,221,238,264,323,326,190,109,84,70,70,43,587,779,664,592,393,499,384,369,253,380,531,248,463,381,655,420,1992,1787,1784,367,520,535,963,950,757,557,582,266,222,336,499,511,610,578,537,646,832,973,977,1091,1012,1216,791,590,519,457,522,378,844,747,47296
